step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
1,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
2,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
3,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
4,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
5,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
6,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
7,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
8,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
9,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
10,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
11,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
12,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
13,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
14,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
15,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
16,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
17,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
18,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
19,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
20,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
21,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
22,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
23,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
24,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
25,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
26,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
27,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
28,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
29,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
30,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
31,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
32,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
33,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
34,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
35,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
36,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
37,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
38,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
39,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
40,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
41,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
42,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
43,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
44,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
45,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
46,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
47,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
48,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
49,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
50,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
51,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
52,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
53,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
54,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
55,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
56,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
57,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
58,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
59,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
60,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
61,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
62,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
63,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
64,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
65,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
66,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
67,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
68,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
69,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
70,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
71,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
72,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
73,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
74,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
75,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
76,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
77,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
78,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
79,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
80,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
81,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
82,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
83,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
84,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
85,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
86,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
87,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
88,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
89,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
90,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
91,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
92,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
93,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
94,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
95,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
96,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
97,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
98,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
99,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
100,-0.360488,-1.792346,-2.661347,0.000000,0.000000,0.000000,0.680000,0.280000,0.180000,0.000000,-0.600000,0.000000
